"phrase","translation_hy","translation_ru","category","level","example_en"
"get off","ստանալ (անց, անջատել)","получать (прочь, отключить)","phrasal_verb","B1","Learners should notice how ""get off"" changes meaning in context."
"get through","ստանալ (մինչև վերջ)","получать (насквозь)","phrasal_verb","B1","Learners should notice how ""get through"" changes meaning in context."
"get under","ստանալ (under)","получать (under)","phrasal_verb","B1","Learners should notice how ""get under"" changes meaning in context."
"give about","տալ (about)","давать (about)","phrasal_verb","B1","Learners should notice how ""give about"" changes meaning in context."
"give across","տալ (across)","давать (across)","phrasal_verb","B1","Learners should notice how ""give across"" changes meaning in context."
"give after","տալ (after)","давать (after)","phrasal_verb","B1","Learners should notice how ""give after"" changes meaning in context."
"give along","տալ (along)","давать (along)","phrasal_verb","B1","Learners should notice how ""give along"" changes meaning in context."
"give apart","տալ (apart)","давать (apart)","phrasal_verb","B1","Learners should notice how ""give apart"" changes meaning in context."
"give around","տալ (around)","давать (around)","phrasal_verb","B1","Learners should notice how ""give around"" changes meaning in context."
"give aside","տալ (aside)","давать (aside)","phrasal_verb","B1","Learners should notice how ""give aside"" changes meaning in context."
"give by","տալ (by)","давать (by)","phrasal_verb","B1","Learners should notice how ""give by"" changes meaning in context."
"give down","տալ (ներքև, գրի առնել)","давать (вниз, записать)","phrasal_verb","B1","Learners should notice how ""give down"" changes meaning in context."
"give for","տալ (for)","давать (for)","phrasal_verb","B1","Learners should notice how ""give for"" changes meaning in context."
"give forward","տալ (forward)","давать (forward)","phrasal_verb","B1","Learners should notice how ""give forward"" changes meaning in context."
"give off","տալ (անց, անջատել)","давать (прочь, отключить)","phrasal_verb","B1","Learners should notice how ""give off"" changes meaning in context."
"give on","տալ (շարունակ, միացնել)","давать (дальше, включить)","phrasal_verb","B1","Learners should notice how ""give on"" changes meaning in context."
"give out","տալ (դուրս, ամբողջությամբ)","давать (наружу, полностью)","phrasal_verb","B1","Learners should notice how ""give out"" changes meaning in context."
"give over","տալ (վրայով, վերանայել)","давать (через, заново)","phrasal_verb","B1","Learners should notice how ""give over"" changes meaning in context."
"give through","տալ (մինչև վերջ)","давать (насквозь)","phrasal_verb","B1","Learners should notice how ""give through"" changes meaning in context."
"give together","տալ (together)","давать (together)","phrasal_verb","B1","Learners should notice how ""give together"" changes meaning in context."
"give under","տալ (under)","давать (under)","phrasal_verb","B1","Learners should notice how ""give under"" changes meaning in context."
"go about","գնալ (about)","идти (about)","phrasal_verb","B1","Learners should notice how ""go about"" changes meaning in context."
"go across","գնալ (across)","идти (across)","phrasal_verb","B1","Learners should notice how ""go across"" changes meaning in context."
"go after","գնալ (after)","идти (after)","phrasal_verb","B1","Learners should notice how ""go after"" changes meaning in context."
"go along","գնալ (along)","идти (along)","phrasal_verb","B1","Learners should notice how ""go along"" changes meaning in context."
"go apart","գնալ (apart)","идти (apart)","phrasal_verb","B1","Learners should notice how ""go apart"" changes meaning in context."
"go around","գնալ (around)","идти (around)","phrasal_verb","B1","Learners should notice how ""go around"" changes meaning in context."
"go aside","գնալ (aside)","идти (aside)","phrasal_verb","B1","Learners should notice how ""go aside"" changes meaning in context."
"go by","գնալ (by)","идти (by)","phrasal_verb","B1","Learners should notice how ""go by"" changes meaning in context."
"go down","գնալ (ներքև, գրի առնել)","идти (вниз, записать)","phrasal_verb","B1","Learners should notice how ""go down"" changes meaning in context."
"go for","գնալ (for)","идти (for)","phrasal_verb","B1","Learners should notice how ""go for"" changes meaning in context."
"go forward","գնալ (forward)","идти (forward)","phrasal_verb","B1","Learners should notice how ""go forward"" changes meaning in context."
"go in","գնալ (ներս, հանձնել)","идти (внутрь)","phrasal_verb","B1","Learners should notice how ""go in"" changes meaning in context."
"go off","գնալ (անց, անջատել)","идти (прочь, отключить)","phrasal_verb","B1","Learners should notice how ""go off"" changes meaning in context."
"go together","գնալ (together)","идти (together)","phrasal_verb","B1","Learners should notice how ""go together"" changes meaning in context."
"go under","գնալ (under)","идти (under)","phrasal_verb","B1","Learners should notice how ""go under"" changes meaning in context."
"go up","գնալ (վեր, ավարտել, ավելացնել)","идти (вверх, завершить)","phrasal_verb","B1","Learners should notice how ""go up"" changes meaning in context."
"hang about","կախել (about)","вешать (about)","phrasal_verb","B1","Learners should notice how ""hang about"" changes meaning in context."
"hang across","կախել (across)","вешать (across)","phrasal_verb","B1","Learners should notice how ""hang across"" changes meaning in context."
"hang after","կախել (after)","вешать (after)","phrasal_verb","B1","Learners should notice how ""hang after"" changes meaning in context."
"hang along","կախել (along)","вешать (along)","phrasal_verb","B1","Learners should notice how ""hang along"" changes meaning in context."
"hang apart","կախել (apart)","вешать (apart)","phrasal_verb","B1","Learners should notice how ""hang apart"" changes meaning in context."
"hang around","կախել (around)","вешать (around)","phrasal_verb","B1","Learners should notice how ""hang around"" changes meaning in context."
"hang aside","կախել (aside)","вешать (aside)","phrasal_verb","B1","Learners should notice how ""hang aside"" changes meaning in context."
"hang away","կախել (հեռու, դեն նետել)","вешать (прочь)","phrasal_verb","B1","Learners should notice how ""hang away"" changes meaning in context."
"hang back","կախել (ետ, պատասխանել)","вешать (назад)","phrasal_verb","B1","Learners should notice how ""hang back"" changes meaning in context."
"hang by","կախել (by)","вешать (by)","phrasal_verb","B1","Learners should notice how ""hang by"" changes meaning in context."
"hang down","կախել (ներքև, գրի առնել)","вешать (вниз, записать)","phrasal_verb","B1","Learners should notice how ""hang down"" changes meaning in context."
"hang for","կախել (for)","вешать (for)","phrasal_verb","B1","Learners should notice how ""hang for"" changes meaning in context."
"hang forward","կախել (forward)","вешать (forward)","phrasal_verb","B1","Learners should notice how ""hang forward"" changes meaning in context."
"hang in","կախել (ներս, հանձնել)","вешать (внутрь)","phrasal_verb","B1","Learners should notice how ""hang in"" changes meaning in context."
"hang off","կախել (անց, անջատել)","вешать (прочь, отключить)","phrasal_verb","B1","Learners should notice how ""hang off"" changes meaning in context."
"hang on","կախել (շարունակ, միացնել)","вешать (дальше, включить)","phrasal_verb","B1","Learners should notice how ""hang on"" changes meaning in context."
"hang over","կախել (վրայով, վերանայել)","вешать (через, заново)","phrasal_verb","B1","Learners should notice how ""hang over"" changes meaning in context."
"hang through","կախել (մինչև վերջ)","вешать (насквозь)","phrasal_verb","B1","Learners should notice how ""hang through"" changes meaning in context."
"hang together","կախել (together)","вешать (together)","phrasal_verb","B1","Learners should notice how ""hang together"" changes meaning in context."
"hang under","կախել (under)","вешать (under)","phrasal_verb","B1","Learners should notice how ""hang under"" changes meaning in context."
"hold about","պահել (about)","держать (about)","phrasal_verb","B1","Learners should notice how ""hold about"" changes meaning in context."
"hold across","պահել (across)","держать (across)","phrasal_verb","B1","Learners should notice how ""hold across"" changes meaning in context."
"hold after","պահել (after)","держать (after)","phrasal_verb","B1","Learners should notice how ""hold after"" changes meaning in context."
"hold along","պահել (along)","держать (along)","phrasal_verb","B1","Learners should notice how ""hold along"" changes meaning in context."
"hold apart","պահել (apart)","держать (apart)","phrasal_verb","B1","Learners should notice how ""hold apart"" changes meaning in context."
"hold around","պահել (around)","держать (around)","phrasal_verb","B1","Learners should notice how ""hold around"" changes meaning in context."
"hold aside","պահել (aside)","держать (aside)","phrasal_verb","B1","Learners should notice how ""hold aside"" changes meaning in context."
"hold away","պահել (հեռու, դեն նետել)","держать (прочь)","phrasal_verb","B1","Learners should notice how ""hold away"" changes meaning in context."
"hold by","պահել (by)","держать (by)","phrasal_verb","B1","Learners should notice how ""hold by"" changes meaning in context."
"hold down","պահել (ներքև, գրի առնել)","держать (вниз, записать)","phrasal_verb","B1","Learners should notice how ""hold down"" changes meaning in context."
"hold for","պահել (for)","держать (for)","phrasal_verb","B1","Learners should notice how ""hold for"" changes meaning in context."
"hold forward","պահել (forward)","держать (forward)","phrasal_verb","B1","Learners should notice how ""hold forward"" changes meaning in context."
"hold in","պահել (ներս, հանձնել)","держать (внутрь)","phrasal_verb","B1","Learners should notice how ""hold in"" changes meaning in context."
"hold off","պահել (անց, անջատել)","держать (прочь, отключить)","phrasal_verb","B1","Learners should notice how ""hold off"" changes meaning in context."
"hold out","պահել (դուրս, ամբողջությամբ)","держать (наружу, полностью)","phrasal_verb","B1","Learners should notice how ""hold out"" changes meaning in context."
"hold over","պահել (վրայով, վերանայել)","держать (через, заново)","phrasal_verb","B1","Learners should notice how ""hold over"" changes meaning in context."
"hold through","պահել (մինչև վերջ)","держать (насквозь)","phrasal_verb","B1","Learners should notice how ""hold through"" changes meaning in context."
"hold together","պահել (together)","держать (together)","phrasal_verb","B1","Learners should notice how ""hold together"" changes meaning in context."
"hold under","պահել (under)","держать (under)","phrasal_verb","B1","Learners should notice how ""hold under"" changes meaning in context."
"hold up","պահել (վեր, ավարտել, ավելացնել)","держать (вверх, завершить)","phrasal_verb","B1","Learners should notice how ""hold up"" changes meaning in context."
"keep about","պահել (about)","держать (about)","phrasal_verb","B1","Learners should notice how ""keep about"" changes meaning in context."
"keep across","պահել (across)","держать (across)","phrasal_verb","B1","Learners should notice how ""keep across"" changes meaning in context."
"keep after","պահել (after)","держать (after)","phrasal_verb","B1","Learners should notice how ""keep after"" changes meaning in context."
"keep along","պահել (along)","держать (along)","phrasal_verb","B1","Learners should notice how ""keep along"" changes meaning in context."
"keep apart","պահել (apart)","держать (apart)","phrasal_verb","B1","Learners should notice how ""keep apart"" changes meaning in context."
"keep around","պահել (around)","держать (around)","phrasal_verb","B1","Learners should notice how ""keep around"" changes meaning in context."
"keep aside","պահել (aside)","держать (aside)","phrasal_verb","B1","Learners should notice how ""keep aside"" changes meaning in context."
"keep away","պահել (հեռու, դեն նետել)","держать (прочь)","phrasal_verb","B1","Learners should notice how ""keep away"" changes meaning in context."
"keep back","պահել (ետ, պատասխանել)","держать (назад)","phrasal_verb","B1","Learners should notice how ""keep back"" changes meaning in context."
"keep by","պահել (by)","держать (by)","phrasal_verb","B1","Learners should notice how ""keep by"" changes meaning in context."
"keep down","պահել (ներքև, գրի առնել)","держать (вниз, записать)","phrasal_verb","B1","Learners should notice how ""keep down"" changes meaning in context."
"keep for","պահել (for)","держать (for)","phrasal_verb","B1","Learners should notice how ""keep for"" changes meaning in context."
"keep forward","պահել (forward)","держать (forward)","phrasal_verb","B1","Learners should notice how ""keep forward"" changes meaning in context."
"keep in","պահել (ներս, հանձնել)","держать (внутрь)","phrasal_verb","B1","Learners should notice how ""keep in"" changes meaning in context."
"keep off","պահել (անց, անջատել)","держать (прочь, отключить)","phrasal_verb","B1","Learners should notice how ""keep off"" changes meaning in context."
"keep out","պահել (դուրս, ամբողջությամբ)","держать (наружу, полностью)","phrasal_verb","B1","Learners should notice how ""keep out"" changes meaning in context."
"keep over","պահել (վրայով, վերանայել)","держать (через, заново)","phrasal_verb","B1","Learners should notice how ""keep over"" changes meaning in context."
"keep through","պահել (մինչև վերջ)","держать (насквозь)","phrasal_verb","B1","Learners should notice how ""keep through"" changes meaning in context."
"keep together","պահել (together)","держать (together)","phrasal_verb","B1","Learners should notice how ""keep together"" changes meaning in context."
"keep under","պահել (under)","держать (under)","phrasal_verb","B1","Learners should notice how ""keep under"" changes meaning in context."
"keep up","պահել (վեր, ավարտել, ավելացնել)","держать (вверх, завершить)","phrasal_verb","B1","Learners should notice how ""keep up"" changes meaning in context."
"let about","թույլ տալ (about)","позволять (about)","phrasal_verb","B1","Learners should notice how ""let about"" changes meaning in context."
"let across","թույլ տալ (across)","позволять (across)","phrasal_verb","B1","Learners should notice how ""let across"" changes meaning in context."
"let after","թույլ տալ (after)","позволять (after)","phrasal_verb","B1","Learners should notice how ""let after"" changes meaning in context."
"let along","թույլ տալ (along)","позволять (along)","phrasal_verb","B1","Learners should notice how ""let along"" changes meaning in context."
"let apart","թույլ տալ (apart)","позволять (apart)","phrasal_verb","B1","Learners should notice how ""let apart"" changes meaning in context."
"let around","թույլ տալ (around)","позволять (around)","phrasal_verb","B1","Learners should notice how ""let around"" changes meaning in context."
"let aside","թույլ տալ (aside)","позволять (aside)","phrasal_verb","B1","Learners should notice how ""let aside"" changes meaning in context."
"let away","թույլ տալ (հեռու, դեն նետել)","позволять (прочь)","phrasal_verb","B1","Learners should notice how ""let away"" changes meaning in context."
"let back","թույլ տալ (ետ, պատասխանել)","позволять (назад)","phrasal_verb","B1","Learners should notice how ""let back"" changes meaning in context."
"let by","թույլ տալ (by)","позволять (by)","phrasal_verb","B1","Learners should notice how ""let by"" changes meaning in context."
"let for","թույլ տալ (for)","позволять (for)","phrasal_verb","B1","Learners should notice how ""let for"" changes meaning in context."
"let forward","թույլ տալ (forward)","позволять (forward)","phrasal_verb","B1","Learners should notice how ""let forward"" changes meaning in context."
"let in","թույլ տալ (ներս, հանձնել)","позволять (внутрь)","phrasal_verb","B1","Learners should notice how ""let in"" changes meaning in context."
"let off","թույլ տալ (անց, անջատել)","позволять (прочь, отключить)","phrasal_verb","B1","Learners should notice how ""let off"" changes meaning in context."
"let on","թույլ տալ (շարունակ, միացնել)","позволять (дальше, включить)","phrasal_verb","B1","Learners should notice how ""let on"" changes meaning in context."
"let out","թույլ տալ (դուրս, ամբողջությամբ)","позволять (наружу, полностью)","phrasal_verb","B1","Learners should notice how ""let out"" changes meaning in context."
"let over","թույլ տալ (վրայով, վերանայել)","позволять (через, заново)","phrasal_verb","B1","Learners should notice how ""let over"" changes meaning in context."
"let through","թույլ տալ (մինչև վերջ)","позволять (насквозь)","phrasal_verb","B1","Learners should notice how ""let through"" changes meaning in context."
"let together","թույլ տալ (together)","позволять (together)","phrasal_verb","B1","Learners should notice how ""let together"" changes meaning in context."
"let under","թույլ տալ (under)","позволять (under)","phrasal_verb","B1","Learners should notice how ""let under"" changes meaning in context."
"let up","թույլ տալ (վեր, ավարտել, ավելացնել)","позволять (вверх, завершить)","phrasal_verb","B1","Learners should notice how ""let up"" changes meaning in context."
"look about","նայել (about)","смотреть (about)","phrasal_verb","B1","Learners should notice how ""look about"" changes meaning in context."
"look across","նայել (across)","смотреть (across)","phrasal_verb","B1","Learners should notice how ""look across"" changes meaning in context."
"look along","նայել (along)","смотреть (along)","phrasal_verb","B1","Learners should notice how ""look along"" changes meaning in context."
"look apart","նայել (apart)","смотреть (apart)","phrasal_verb","B1","Learners should notice how ""look apart"" changes meaning in context."
"look around","նայել (around)","смотреть (around)","phrasal_verb","B1","Learners should notice how ""look around"" changes meaning in context."
"look aside","նայել (aside)","смотреть (aside)","phrasal_verb","B1","Learners should notice how ""look aside"" changes meaning in context."
"look away","նայել (հեռու, դեն նետել)","смотреть (прочь)","phrasal_verb","B1","Learners should notice how ""look away"" changes meaning in context."
"look back","նայել (ետ, պատասխանել)","смотреть (назад)","phrasal_verb","B1","Learners should notice how ""look back"" changes meaning in context."
"look by","նայել (by)","смотреть (by)","phrasal_verb","B1","Learners should notice how ""look by"" changes meaning in context."
"look down","նայել (ներքև, գրի առնել)","смотреть (вниз, записать)","phrasal_verb","B1","Learners should notice how ""look down"" changes meaning in context."
"look forward","նայել (forward)","смотреть (forward)","phrasal_verb","B1","Learners should notice how ""look forward"" changes meaning in context."
"look in","նայել (ներս, հանձնել)","смотреть (внутрь)","phrasal_verb","B1","Learners should notice how ""look in"" changes meaning in context."
"look off","նայել (անց, անջատել)","смотреть (прочь, отключить)","phrasal_verb","B1","Learners should notice how ""look off"" changes meaning in context."
"look on","նայել (շարունակ, միացնել)","смотреть (дальше, включить)","phrasal_verb","B1","Learners should notice how ""look on"" changes meaning in context."
"look over","նայել (վրայով, վերանայել)","смотреть (через, заново)","phrasal_verb","B1","Learners should notice how ""look over"" changes meaning in context."
"look through","նայել (մինչև վերջ)","смотреть (насквозь)","phrasal_verb","B1","Learners should notice how ""look through"" changes meaning in context."
"look together","նայել (together)","смотреть (together)","phrasal_verb","B1","Learners should notice how ""look together"" changes meaning in context."
"look under","նայել (under)","смотреть (under)","phrasal_verb","B1","Learners should notice how ""look under"" changes meaning in context."
"make about","անել (about)","делать (about)","phrasal_verb","B1","Learners should notice how ""make about"" changes meaning in context."
"make across","անել (across)","делать (across)","phrasal_verb","B1","Learners should notice how ""make across"" changes meaning in context."
"make after","անել (after)","делать (after)","phrasal_verb","B1","Learners should notice how ""make after"" changes meaning in context."
"make along","անել (along)","делать (along)","phrasal_verb","B1","Learners should notice how ""make along"" changes meaning in context."
"make apart","անել (apart)","делать (apart)","phrasal_verb","B1","Learners should notice how ""make apart"" changes meaning in context."
"make around","անել (around)","делать (around)","phrasal_verb","B1","Learners should notice how ""make around"" changes meaning in context."
"make aside","անել (aside)","делать (aside)","phrasal_verb","B1","Learners should notice how ""make aside"" changes meaning in context."
"make away","անել (հեռու, դեն նետել)","делать (прочь)","phrasal_verb","B1","Learners should notice how ""make away"" changes meaning in context."
"make back","անել (ետ, պատասխանել)","делать (назад)","phrasal_verb","B1","Learners should notice how ""make back"" changes meaning in context."
"make by","անել (by)","делать (by)","phrasal_verb","B1","Learners should notice how ""make by"" changes meaning in context."
"make down","անել (ներքև, գրի առնել)","делать (вниз, записать)","phrasal_verb","B1","Learners should notice how ""make down"" changes meaning in context."
"make for","անել (for)","делать (for)","phrasal_verb","B1","Learners should notice how ""make for"" changes meaning in context."
"make forward","անել (forward)","делать (forward)","phrasal_verb","B1","Learners should notice how ""make forward"" changes meaning in context."
"make in","անել (ներս, հանձնել)","делать (внутрь)","phrasal_verb","B1","Learners should notice how ""make in"" changes meaning in context."
"make off","անել (անց, անջատել)","делать (прочь, отключить)","phrasal_verb","B1","Learners should notice how ""make off"" changes meaning in context."
"make on","անել (շարունակ, միացնել)","делать (дальше, включить)","phrasal_verb","B1","Learners should notice how ""make on"" changes meaning in context."
"make over","անել (վրայով, վերանայել)","делать (через, заново)","phrasal_verb","B1","Learners should notice how ""make over"" changes meaning in context."
"make through","անել (մինչև վերջ)","делать (насквозь)","phrasal_verb","B1","Learners should notice how ""make through"" changes meaning in context."
"make together","անել (together)","делать (together)","phrasal_verb","B1","Learners should notice how ""make together"" changes meaning in context."
"make under","անել (under)","делать (under)","phrasal_verb","B1","Learners should notice how ""make under"" changes meaning in context."
"move about","շարժվել (about)","двигаться (about)","phrasal_verb","B1","Learners should notice how ""move about"" changes meaning in context."
"move across","շարժվել (across)","двигаться (across)","phrasal_verb","B1","Learners should notice how ""move across"" changes meaning in context."
"move after","շարժվել (after)","двигаться (after)","phrasal_verb","B1","Learners should notice how ""move after"" changes meaning in context."
"move along","շարժվել (along)","двигаться (along)","phrasal_verb","B1","Learners should notice how ""move along"" changes meaning in context."
"move apart","շարժվել (apart)","двигаться (apart)","phrasal_verb","B1","Learners should notice how ""move apart"" changes meaning in context."
"move around","շարժվել (around)","двигаться (around)","phrasal_verb","B1","Learners should notice how ""move around"" changes meaning in context."
"move aside","շարժվել (aside)","двигаться (aside)","phrasal_verb","B1","Learners should notice how ""move aside"" changes meaning in context."
"move away","շարժվել (հեռու, դեն նետել)","двигаться (прочь)","phrasal_verb","B1","Learners should notice how ""move away"" changes meaning in context."
"move back","շարժվել (ետ, պատասխանել)","двигаться (назад)","phrasal_verb","B1","Learners should notice how ""move back"" changes meaning in context."
"move by","շարժվել (by)","двигаться (by)","phrasal_verb","B1","Learners should notice how ""move by"" changes meaning in context."
"move down","շարժվել (ներքև, գրի առնել)","двигаться (вниз, записать)","phrasal_verb","B1","Learners should notice how ""move down"" changes meaning in context."
"move for","շարժվել (for)","двигаться (for)","phrasal_verb","B1","Learners should notice how ""move for"" changes meaning in context."
"move forward","շարժվել (forward)","двигаться (forward)","phrasal_verb","B1","Learners should notice how ""move forward"" changes meaning in context."
"move off","շարժվել (անց, անջատել)","двигаться (прочь, отключить)","phrasal_verb","B1","Learners should notice how ""move off"" changes meaning in context."
"move on","շարժվել (շարունակ, միացնել)","двигаться (дальше, включить)","phrasal_verb","B1","Learners should notice how ""move on"" changes meaning in context."
"move over","շարժվել (վրայով, վերանայել)","двигаться (через, заново)","phrasal_verb","B1","Learners should notice how ""move over"" changes meaning in context."
"move through","շարժվել (մինչև վերջ)","двигаться (насквозь)","phrasal_verb","B1","Learners should notice how ""move through"" changes meaning in context."
"move together","շարժվել (together)","двигаться (together)","phrasal_verb","B1","Learners should notice how ""move together"" changes meaning in context."
"move under","շարժվել (under)","двигаться (under)","phrasal_verb","B1","Learners should notice how ""move under"" changes meaning in context."
"move up","շարժվել (վեր, ավարտել, ավելացնել)","двигаться (вверх, завершить)","phrasal_verb","B1","Learners should notice how ""move up"" changes meaning in context."
"pass about","անցնել (about)","проходить (about)","phrasal_verb","B1","Learners should notice how ""pass about"" changes meaning in context."
"pass across","անցնել (across)","проходить (across)","phrasal_verb","B1","Learners should notice how ""pass across"" changes meaning in context."
"pass after","անցնել (after)","проходить (after)","phrasal_verb","B1","Learners should notice how ""pass after"" changes meaning in context."
"pass along","անցնել (along)","проходить (along)","phrasal_verb","B1","Learners should notice how ""pass along"" changes meaning in context."
"pass apart","անցնել (apart)","проходить (apart)","phrasal_verb","B1","Learners should notice how ""pass apart"" changes meaning in context."
"pass around","անցնել (around)","проходить (around)","phrasal_verb","B1","Learners should notice how ""pass around"" changes meaning in context."
"pass aside","անցնել (aside)","проходить (aside)","phrasal_verb","B1","Learners should notice how ""pass aside"" changes meaning in context."
"pass back","անցնել (ետ, պատասխանել)","проходить (назад)","phrasal_verb","B1","Learners should notice how ""pass back"" changes meaning in context."
"pass by","անցնել (by)","проходить (by)","phrasal_verb","B1","Learners should notice how ""pass by"" changes meaning in context."
"pass down","անցնել (ներքև, գրի առնել)","проходить (вниз, записать)","phrasal_verb","B1","Learners should notice how ""pass down"" changes meaning in context."
"pass for","անցնել (for)","проходить (for)","phrasal_verb","B1","Learners should notice how ""pass for"" changes meaning in context."
"pass forward","անցնել (forward)","проходить (forward)","phrasal_verb","B1","Learners should notice how ""pass forward"" changes meaning in context."
"pass in","անցնել (ներս, հանձնել)","проходить (внутрь)","phrasal_verb","B1","Learners should notice how ""pass in"" changes meaning in context."
"pass off","անցնել (անց, անջատել)","проходить (прочь, отключить)","phrasal_verb","B1","Learners should notice how ""pass off"" changes meaning in context."
"pass on","անցնել (շարունակ, միացնել)","проходить (дальше, включить)","phrasal_verb","B1","Learners should notice how ""pass on"" changes meaning in context."
"pass over","անցնել (վրայով, վերանայել)","проходить (через, заново)","phrasal_verb","B1","Learners should notice how ""pass over"" changes meaning in context."
"pass through","անցնել (մինչև վերջ)","проходить (насквозь)","phrasal_verb","B1","Learners should notice how ""pass through"" changes meaning in context."
"pass together","անցնել (together)","проходить (together)","phrasal_verb","B1","Learners should notice how ""pass together"" changes meaning in context."
"pass under","անցնել (under)","проходить (under)","phrasal_verb","B1","Learners should notice how ""pass under"" changes meaning in context."
"pass up","անցնել (վեր, ավարտել, ավելացնել)","проходить (вверх, завершить)","phrasal_verb","B1","Learners should notice how ""pass up"" changes meaning in context."
"pay about","վճարել (about)","платить (about)","phrasal_verb","B1","Learners should notice how ""pay about"" changes meaning in context."
"pay across","վճարել (across)","платить (across)","phrasal_verb","B1","Learners should notice how ""pay across"" changes meaning in context."
"pay after","վճարել (after)","платить (after)","phrasal_verb","B1","Learners should notice how ""pay after"" changes meaning in context."
"pay along","վճարել (along)","платить (along)","phrasal_verb","B1","Learners should notice how ""pay along"" changes meaning in context."
"pay apart","վճարել (apart)","платить (apart)","phrasal_verb","B1","Learners should notice how ""pay apart"" changes meaning in context."
"pay around","վճարել (around)","платить (around)","phrasal_verb","B1","Learners should notice how ""pay around"" changes meaning in context."
"pay aside","վճարել (aside)","платить (aside)","phrasal_verb","B1","Learners should notice how ""pay aside"" changes meaning in context."
"pay away","վճարել (հեռու, դեն նետել)","платить (прочь)","phrasal_verb","B1","Learners should notice how ""pay away"" changes meaning in context."
"pay by","վճարել (by)","платить (by)","phrasal_verb","B1","Learners should notice how ""pay by"" changes meaning in context."
"pay down","վճարել (ներքև, գրի առնել)","платить (вниз, записать)","phrasal_verb","B1","Learners should notice how ""pay down"" changes meaning in context."
"pay for","վճարել (for)","платить (for)","phrasal_verb","B1","Learners should notice how ""pay for"" changes meaning in context."
"pay forward","վճարել (forward)","платить (forward)","phrasal_verb","B1","Learners should notice how ""pay forward"" changes meaning in context."
"pay in","վճարել (ներս, հանձնել)","платить (внутрь)","phrasal_verb","B1","Learners should notice how ""pay in"" changes meaning in context."
"pay on","վճարել (շարունակ, միացնել)","платить (дальше, включить)","phrasal_verb","B1","Learners should notice how ""pay on"" changes meaning in context."
"pay out","վճարել (դուրս, ամբողջությամբ)","платить (наружу, полностью)","phrasal_verb","B1","Learners should notice how ""pay out"" changes meaning in context."
"pay over","վճարել (վրայով, վերանայել)","платить (через, заново)","phrasal_verb","B1","Learners should notice how ""pay over"" changes meaning in context."
"pay through","վճարել (մինչև վերջ)","платить (насквозь)","phrasal_verb","B1","Learners should notice how ""pay through"" changes meaning in context."
"pay together","վճարել (together)","платить (together)","phrasal_verb","B1","Learners should notice how ""pay together"" changes meaning in context."
"pay under","վճարել (under)","платить (under)","phrasal_verb","B1","Learners should notice how ""pay under"" changes meaning in context."
"pay up","վճարել (վեր, ավարտել, ավելացնել)","платить (вверх, завершить)","phrasal_verb","B1","Learners should notice how ""pay up"" changes meaning in context."
"pick about","վերցնել (about)","выбирать (about)","phrasal_verb","B1","Learners should notice how ""pick about"" changes meaning in context."
"pick across","վերցնել (across)","выбирать (across)","phrasal_verb","B1","Learners should notice how ""pick across"" changes meaning in context."
"pick after","վերցնել (after)","выбирать (after)","phrasal_verb","B1","Learners should notice how ""pick after"" changes meaning in context."
"pick along","վերցնել (along)","выбирать (along)","phrasal_verb","B1","Learners should notice how ""pick along"" changes meaning in context."
"pick apart","վերցնել (apart)","выбирать (apart)","phrasal_verb","B1","Learners should notice how ""pick apart"" changes meaning in context."
"pick around","վերցնել (around)","выбирать (around)","phrasal_verb","B1","Learners should notice how ""pick around"" changes meaning in context."
"pick aside","վերցնել (aside)","выбирать (aside)","phrasal_verb","B1","Learners should notice how ""pick aside"" changes meaning in context."
"pick away","վերցնել (հեռու, դեն նետել)","выбирать (прочь)","phrasal_verb","B1","Learners should notice how ""pick away"" changes meaning in context."
"pick back","վերցնել (ետ, պատասխանել)","выбирать (назад)","phrasal_verb","B1","Learners should notice how ""pick back"" changes meaning in context."
"pick by","վերցնել (by)","выбирать (by)","phrasal_verb","B1","Learners should notice how ""pick by"" changes meaning in context."
"pick down","վերցնել (ներքև, գրի առնել)","выбирать (вниз, записать)","phrasal_verb","B1","Learners should notice how ""pick down"" changes meaning in context."
"pick for","վերցնել (for)","выбирать (for)","phrasal_verb","B1","Learners should notice how ""pick for"" changes meaning in context."
"pick forward","վերցնել (forward)","выбирать (forward)","phrasal_verb","B1","Learners should notice how ""pick forward"" changes meaning in context."
"pick in","վերցնել (ներս, հանձնել)","выбирать (внутрь)","phrasal_verb","B1","Learners should notice how ""pick in"" changes meaning in context."
"pick off","վերցնել (անց, անջատել)","выбирать (прочь, отключить)","phrasal_verb","B1","Learners should notice how ""pick off"" changes meaning in context."
"pick on","վերցնել (շարունակ, միացնել)","выбирать (дальше, включить)","phrasal_verb","B1","Learners should notice how ""pick on"" changes meaning in context."
"pick out","վերցնել (դուրս, ամբողջությամբ)","выбирать (наружу, полностью)","phrasal_verb","B1","Learners should notice how ""pick out"" changes meaning in context."
"pick over","վերցնել (վրայով, վերանայել)","выбирать (через, заново)","phrasal_verb","B1","Learners should notice how ""pick over"" changes meaning in context."
"pick through","վերցնել (մինչև վերջ)","выбирать (насквозь)","phrasal_verb","B1","Learners should notice how ""pick through"" changes meaning in context."
"pick together","վերցնել (together)","выбирать (together)","phrasal_verb","B1","Learners should notice how ""pick together"" changes meaning in context."
"pick under","վերցնել (under)","выбирать (under)","phrasal_verb","B1","Learners should notice how ""pick under"" changes meaning in context."
